级别编码,级别名称,分类编号,分类名称,厚度,长度,宽度,吨位差
00301827,成都南玻超白汽车级,003,超白,10,4701,2440,0
00402073,廊坊金彪欧洲灰玻优等,004,色玻,8,3660,2800,0.2
00301826,吴江南玻超白汽车级,003,超白,10,4880,3300,0
00402072,耀华F绿玻,004,色玻,4.1,2440,1830,0
00301825,吴江南玻超白汽车级,003,超白,12,4880,3300,0
00301824,吴江南玻超白汽车级,003,超白,12,4100,2440,0
00301823,吴江南玻超白汽车级,003,超白,12,3660,2440,0
00301822,吴江南玻超白汽车级,003,超白,12,3300,2440,0
00301821,吴江南玻超白汽车级,003,超白,12,4280,2280,0
00301820,吴江南玻超白汽车级,003,超白,10,1880,3300,0
00301819,吴江南玻超白汽车级,003,超白,10,4580,2810,0
00301818,吴江南玻超白汽车级,003,超白,10,4580,2440,0
00105004,凯盛晶华过渡品,001,白玻,4.9,3660,2140,0
00105003,德金优等,001,白玻,4.5,2440,2000,0.2
00700485,钻石油砂,007,油砂,5,2440,2100,0.2
00301817,河北南玻超白汽车级,003,超白,10,3300,2250,0.2
00105002,金宏阳优等品,001,白玻,10,4280,2440,0.2
00105001,金宏阳优等品,001,白玻,10,4580,2140,0.2
00105000,凯盛晶华过渡品,001,白玻,4.9,3660,2440,0
00104999,金宏阳优等品,001,白玻,8,4580,2800,0.2
00104998,鸿升优等品,001,白玻,3.2,2440,2000,0.2
00104997,鸿升优等品,001,白玻,3.2,2200,1900,0.2
00104996,德金一等,001,白玻,4.5,2440,1900,0.3
00201459,安强lowe170,002,Low-E,5,3660,2280,0.2
00104995,河北南玻普白汽车级,001,白玻,15,3050,2440,0.2
00402071,秦皇岛耀华F绿过渡色一等品,004,色玻,4.9,3660,2440,0
00104994,石家庄玉晶合格品,001,白玻,5,3660,2550,0.2
00402070,金彪金茶优等品,004,色玻,3.9,2440,1830,0.2
00402069,金彪金茶优等品,004,色玻,3.9,3660,2440,0.2
00700484,普白单面油砂,007,油砂,7,3660,2250,0.2
00104992,鸿升优等品,001,白玻,3.2,2440,1900,0
00104991,营口信义一等品,001,白玻,12,3050,2800,0
00104990,凯盛晶华过渡品,001,白玻,4.9,3660,2740,0
00104990,营口信义一等品,001,白玻,12,3660,2550,0
00104989,金宏阳优等品,001,白玻,8,4000,2140,0.2
00402068,曲靖海生福特蓝镀膜优等,004,色玻,4.3,2200,1830,0
00800155,单漆铝镜,008,镜子,2.8,2200,2000,0.2
00800154,单漆铝镜,008,镜子,2.8,2440,2000,0.2
00301816,中玻超白汽车级,003,超白,7,3660,2440,0.2
00104988,寿光光耀普通级-X,001,白玻,5,2440,2000,0.2
00500622,贵山超白长虹,005,压花,7,2440,2250,0.2
00402067,湖北三峡欧洲灰原片优等品,004,色玻,8,3660,2140,0.2
00104987,咸阳台玻白玻一等,001,白玻,5,3660,2440,0
00104986,咸阳台玻白玻一等,001,白玻,6,3660,2440,0
00104985,咸阳台玻白玻一等,001,白玻,8,3660,2440,0
00104984,石家庄玉晶一等品,001,白玻,6,4880,1950,0.2
00104983,金仓优等,001,白玻,3.4,2440,2000,0.2
00402066,漳州旗滨福特蓝玻KN,004,色玻,8,3660,2740,0
00201458,北玻lowe170,002,Low-E,5,3660,2280,0.2
00402065,漳州旗滨金茶玻优等,004,色玻,8,3660,2440,0.2
00104982,金宏阳一等品,001,白玻,10,4000,2440,0.2
00104981,金宏阳一等品,001,白玻,4.5,3660,2600,0.2
00104980,金宏阳一等品,001,白玻,4.5,3660,2440,0.2
00301815,河北南玻超白汽车级,003,超白,10,3870,2250,0.2
00104979,德金优等,001,白玻,2.6,2440,2000,0.1
00301814,河北南玻超白汽车级,003,超白,12,3050,2340,0
00201457,天津信义XETB0170,002,Low-E,12,4880,2740,0
00201456,天津信义XETB0170,002,Low-E,8,4880,3050,0
00201455,天津信义XETB0170,002,Low-E,10,4880,3050,0
00201454,天津信义XETN0180,002,Low-E,12,4880,3300,0
00104978,天津信义一等品,001,白玻,12,4880,3050,0
00402064,绿玻,004,色玻,3.5,1840,1320,0.1
00402063,绿玻,004,色玻,3.5,2450,1600,0.1
00402062,绿玻,004,色玻,3.2,2320,1400,0.1
00301813,河北南玻超白汽车级,003,超白,5,3300,2140,0.2
00301812,河北南玻超白汽车级,003,超白,12,3050,2300,0.2
00201453,安强lowe160,002,Low-E,4.5,3660,2600,0.2
00201452,安强lowe160,002,Low-E,4.5,3660,2440,0.2
00104977,石家庄玉晶一等品,001,白玻,3.4,3660,2440,0.2
00402061,圣戈班A绿过渡F绿,004,色玻,4.1,2440,1830,0.2
00104976,石家庄玉晶一等,001,白玻,4,3600,2440,0.2
00402060,威海中玻黑玻合格,004,色玻,8,3660,2440,0
00402059,威海中玻黑玻合格,004,色玻,5,3660,2440,0
00402058,威海中玻黑玻合格,004,色玻,4,3660,2440,0
00402057,威海中玻黑玻合格,004,色玻,3.8,3660,2440,0
00104975,乌海中玻白玻普通级,001,白玻,5,3660,2440,0
00301811,河北南玻超白汽车级,003,超白,15,4500,3300,0
00301810,河北南玻超白汽车级,003,超白,10,4580,3050,0
00301809,河北南玻超白汽车级,003,超白,8,4650,3300,0
00104974,滕州金晶白玻制镜级,001,白玻,12,4880,2440,0
00104973,滕州金晶白玻汽车级,001,白玻,8,3660,2550,0
00301808,商丘中联超白汽车级,003,超白,3.5,2440,2100,0.2
00301807,商丘中联超白汽车级,003,超白,3.5,2440,1560,0.2
00500621,南阳贵山超白水波,005,压花,7,2800,2100,0.5
00500620,南阳贵山超白水波,005,压花,7,2440,2100,0.5
00500619,沙河贵山超白银玻纹,005,压花,5,2800,2100,0.5
00500618,沙河贵山超白银玻纹,005,压花,5,2440,2100,0.5
00402056,北玻蓝星灰镀膜优等,004,色玻,5,3660,2440,0.2
00301806,河北南玻超白汽车级,003,超白,10,3300,2500,0.2
00201451,内蒙古玉晶lowe170,002,Low-E,5,3660,2440,0
00500617,东兴超白长虹,005,压花,4.5,2440,2250,0.1
00301805,天津台玻超白优质加工级,003,超白,6.5,3660,2440,0.2
00402055,威海中玻福特蓝镀膜优等品,004,色玻,4.5,3660,2250,0
00402054,东台中玻灰优等,004,色玻,3.2,3660,2440,0
00402053,廊坊金彪灰茶玻优等品,004,色玻,8,3660,2440,0.2
00402052,廊坊金彪灰茶玻,004,色玻,12,3660,2440,0.2
00301804,天津台玻超白汽车级,003,超白,6.4,3660,2440,0.2
00700483,单面超白油砂,007,油砂,6.4,3660,2440,0.2
00301803,河北南玻超白汽车级,003,超白,12,3300,2080,0.2
00301802,安彩超白汽车级,003,超白,6.4,3660,2440,0.2
00900010,玉砂,009,玉砂,6,3660,2250,0.2
00402051,廊坊金彪欧洲灰原片优等,004,色玻,12,3660,2140,0.2
00402050,廊坊金彪欧洲灰原片优等,004,色玻,10,3300,2140,0.2
00700482,超白长虹油砂,007,油砂,4.5,2440,2100,0.8
00500616,超白双绒,005,压花,4,3660,2250,0.2
00104972,寿光光耀普通级,001,白玻,3.5,2440,2000,0
00104971,寿光光耀普通级,001,白玻,3.5,2440,1830,0
00104970,南玻普白汽车级,001,白玻,6,3300,2600,0
00201450,咸宁南玻super4,002,Low-E,6,3300,2440,0
00201449,咸宁南玻super4,002,Low-E,6,3300,2280,0
00500615,沙河贵山超白长虹,005,压花,10,2440,2100,0.8
00500614,沙河贵山普白长虹,005,压花,10,2440,2100,0.8
00104969,滕州金晶白玻制镜级,001,白玻,6,4880,3300,0
00104968,东台中玻一等品,001,白玻,5,3300,2440,0
00201448,安强lowe160,002,Low-E,6,3300,2250,0.2
00700481,沙河贵山超白小灯芯油砂,007,油砂,7,2440,2100,0.4
00500613,沙河贵山普白长虹,005,压花,7,2440,2100,0.4
00104967,德金一等,001,白玻,4,2440,2000,0.4
00402049,圣戈班F绿过渡板,004,色玻,4.1,3660,2440,0.2
00500612,新金枝玉叶（布纹）,005,压花,3,2200,1900,0.2
00301801,中联超白建筑级,003,超白,4,3660,2250,0
00104966,天津信义一等品,001,白玻,5,4880,3050,0
00301800,天津信义超白一等,003,超白,5,4880,3300,0
00700480,单面灰油砂,007,油砂,3.5,3660,2440,0.2
00700479,单面超白油砂,007,油砂,3.5,3660,2250,0.2
00700478,单面灰油砂,007,油砂,3.5,3600,2440,0.2
00301799,东台中玻超白一等品,003,超白,6.8,3660,2440,0
00104965,寿光光耀普通级-X,001,白玻,4.5,2700,1900,0
00104964,寿光光耀普通级,001,白玻,4.5,2700,1900,0
00104963,寿光光耀普通级,001,白玻,4.5,2700,2100,0
00402048,唐山蓝欣欧洲灰玻混装品,004,色玻,6.5,3660,2440,0.2
00301798,东台中玻超白汽车级,003,超白,7,3660,2140,0.2
00301797,淄博金晶超白汽车级,003,超白,3.6,3660,2250,0.2
00402047,曲靖海生绿玻原片优等,004,色玻,3.2,2440,1830,0
00402046,曲靖海生绿玻原片优等,004,色玻,3.2,2440,1650,0
00402045,威海中玻欧洲灰玻普通级,004,色玻,3.5,2440,1830,0
00402044,淄博金晶F绿玻汽车级,004,色玻,4,3660,2440,0
00104962,寿光光耀优质加工级,001,白玻,4.5,2200,1830,0
00402043,威海中玻金茶玻合格品,004,色玻,4.9,3660,2440,0
00402042,威海中玻自然绿镀膜合格品,004,色玻,4.3,3660,2440,0
00402041,威海中玻自然绿玻合格品,004,色玻,4.3,3660,2440,0
00402040,威海中玻福特蓝镀膜合格品,004,色玻,6,3660,2440,0
00402039,威海中玻福特蓝玻合格品,004,色玻,6,3660,2440,0
00402038,湖北三峡福特蓝镀膜一等,004,色玻,5,3660,2250,0
00402037,醴陵旗滨福特蓝玻优等品,004,色玻,4.5,3660,2740,0
00104961,石家庄玉晶合格品,001,白玻,2.9,2440,2000,0.15
00104960,石家庄玉晶合格品,001,白玻,2.9,2440,1830,0.15
00402036,湖北三峡福特蓝镀膜一等,004,色玻,4.5,3660,2140,0
00402035,湖北三峡福特蓝镀膜一等,004,色玻,5,3660,2280,0
00402034,湖北三峡福特蓝镀膜一等,004,色玻,5,3660,2740,0
00402033,湖北三峡欧洲灰普通级,004,色玻,12,3660,2440,0.2
00700477,普白单面油砂,007,油砂,6,3300,2600,0.2
00402032,秦皇岛耀华F绿原片一等,004,色玻,8,3660,2440,0.2
00104959,石家庄玉晶一等品,001,白玻,3,3050,2810,0.15
00104958,宿迁中玻合格品,001,白玻,3,2440,1830,0
00301796,秦皇岛奥华超白汽车级,003,超白,4.5,3660,2140,0.2
00402031,安强蓝星灰镀膜优等,004,色玻,4.5,3660,2600,0.2
00104957,凯盛晶华一等,001,白玻,3.4,3210,2440,0
00402030,曲靖海生绿镀膜优等品,004,色玻,3.4,2440,1830,0
00104956,淄博金晶白玻汽车级,001,白玻,4,3300,2550,0
00104955,宿迁中玻合格品,001,白玻,3.2,3660,2355,0
00402029,威海中玻福特蓝玻优等,004,色玻,4.5,3660,2440,0
00104954,安徽冠盛合格,001,白玻,5,3660,2440,0
00104953,安徽冠盛合格,001,白玻,4.3,3660,2440,0
00402028,贵州凯荣欧洲灰玻合格,004,色玻,4.3,3660,2440,0
00402027,威海福特蓝镀膜优等品,004,色玻,5,3660,2440,0.2
00104952,石家庄玉晶一等品,001,白玻,4,3660,2740,0.15
00104951,石家庄玉晶一等品,001,白玻,2.9,2440,2000,0.15
00301795,商丘中联超白建筑级,003,超白,12,3660,2440,0
00104950,营口信义PT级,001,白玻,6,3300,2290,0
00104949,凯盛晶华一等品,001,白玻,3,3300,2550,0
00104948,凯盛晶华一等品,001,白玻,3,3660,2550,0
00402026,漳州旗滨欧洲灰玻优等品,004,色玻,10,4880,3050,0
00104947,石家庄玉晶一等品,001,白玻,2.9,2440,1830,0.15
00104946,天津信义一等品,001,白玻,5,4880,3300,0
00301794,河北南玻超白汽车级,003,超白,8,3300,2900,0
01000047,倒车费,010,其他,0,0,0,0
00104945,金宏阳一等品,001,白玻,2.1,2340,1420,0.2
00301793,河北南玻超白汽车级,003,超白,8,3660,2850,0
00104944,利虎合格品,001,白玻,4.2,3300,2440,0.2
00402025,中联黑玻20系,004,色玻,12,3660,2440,0.2
00104943,安全等外品,001,白玻,6,3660,2440,0.2
00500610,贵州超白水波纹,005,压花,5,2440,2100,0.4
00104942,天津信义一等品,001,白玻,5,3300,2630,0
00800153,超白双漆铝镜,008,镜子,6,3660,2440,0.2
00402024,廊坊金彪欧洲灰原片优等品,004,色玻,10,3300,2440,0
00402023,廊坊金彪欧洲灰原片优等品,004,色玻,6,3300,2140,0
00402022,廊坊金彪欧洲灰原片优等品,004,色玻,6,3660,2140,0
00402021,廊坊金彪欧洲灰原片优等品,004,色玻,6,3300,2440,0
00402020,廊坊金彪灰茶玻,004,色玻,4,3300,2440,0
00402019,贵州凯荣欧洲灰玻优等,004,色玻,6,3660,2440,0
00402018,唐山蓝欣欧灰混装品,004,色玻,3.8,3660,2140,0.2
00402017,唐山蓝欣欧灰混装品,004,色玻,3.8,3660,2440,0.2
00500609,海生长虹白玻一等,005,压花,7.2,3660,2134,0.2
00500608,海生长虹白玻一等,005,压花,7.2,3660,2440,0.2
00301792,超白光伏玻璃,003,超白,10,3660,2630,0
00301791,超白光伏玻璃,003,超白,5,3660,2440,0
00301790,超白光伏玻璃,003,超白,4,2440,1830,0
00301789,漳州旗滨欧洲灰玻KN,003,色玻,6,3660,2440,0
00402016,曲靖海生绿原片优等,004,色玻,5,3660,2140,0
00402015,曲靖海生绿原片优等,004,色玻,5,3660,2440,0
00402014,曲靖海生绿原片优等,004,色玻,6,3660,2440,0
00402013,曲靖海生绿原片优等,004,色玻,4.3,3660,2440,0
00301788,商丘中联超白汽车级,003,超白,10,3660,2440,0.2
00402012,曲靖海生绿镀膜优等,004,色玻,4.5,3660,2440,0
00402011,曲靖海生绿镀膜优等,004,色玻,6,3660,2440,0
00104941,本溪玉晶合格品过渡,001,白玻,6,3300,2140,0
00402010,三峡欧洲灰,004,色玻,7.2,3660,2440,0
00402009,三峡欧洲灰,004,色玻,6.5,3660,2440,0
00402008,三峡欧洲灰,004,色玻,6.5,3660,2250,0
00402007,三峡欧洲灰,004,色玻,7,3660,2250,0
00104940,巨润一等品,001,白玻,7.2,3300,2000,0
00104939,金仓优等品,001,白玻,3.5,2440,2000,0.3
00104938,金仓优等品,001,白玻,3.5,2200,2000,0.3
00500607,超白光伏玻璃KB,005,压花,12,3660,2740,0
00402006,廊坊金彪金茶玻,004,色玻,10,3300,2440,0.2
00104937,石家庄玉晶一等品,001,白玻,10,3300,2440,0.4
00104936,安全等外,001,白玻,4,3660,2440,0.2
00800152,双漆铝镜,008,镜子,3.9,3660,2440,0.2
01000046,2440架子,010,其他,0,0,0,0
00201447,安强lowe170,002,Low-E,6,3660,2134,0.2
00201446,lowe170,002,Low-E,5,2440,1830,0
00500606,思可达超白水晶,005,压花,5,2800,2100,0.2
00301787,东台中玻超白汽车级,003,超白,7.1,3660,2440,0.2
00700476,单面普白油砂,007,油砂,8,3660,2140,0.2
00104935,利虎一等,001,白玻,4.9,3300,2440,0.2
00104934,金宏阳一等,001,白玻,3.5,2440,2000,0.2
00402005,威海中玻黑玻合格,004,色玻,10,3300,2440,0
00700475,超白双面油砂（安彩）,007,油砂,8,3660,2440,0.2
00402004,信义F绿原片,004,色玻,4.2,2440,1830,0.2
00500605,东兴超白长虹,005,压花,5,2440,2440,0.8
00301786,台玻超白汽车级,003,超白,10,3300,1900,0.2
00301785,台玻超白汽车级,003,超白,10,2800,2740,0.2
00700474,普白油砂,007,油砂,6,3660,2140,0.2
00301784,中玻超白汽车级,003,超白,7,3660,2250,0.2
00104933,金仓白玻一等品,001,白玻,3.8,2200,2000,0.4
00104932,寿光光耀普通级-x,001,白玻,4.8,2700,2000,0.3
00104930,石家庄玉晶合格品,001,白玻,3.2,3520,2490,0.15
00104929,利虎合格品,001,白玻,4.2,3300,2250,0.2
00104928,石家庄玉晶合格,001,白玻,8,3050,2140,0.3
00104927,石家庄玉晶合格,001,白玻,8,3050,2800,0.3
00104926,石家庄玉晶合格,001,白玻,8,3300,2800,0.3
00104925,本溪玉晶合格过渡品,001,白玻,6,2440,1830,0
00402003,秦皇岛蓝灰镀膜合格品,004,色玻,5,3660,2440,0.2
00800151,仿古镜,008,镜子,4.8,2440,1830,0.4
00104924,灰油砂,001,白玻,6.5,3660,2140,0.2
00104923,长红白玻一等品,001,白玻,7.2,3660,2440,0.2
00104922,长红白玻一等品,001,白玻,7.2,3660,2250,0.2
00201445,金石信远lowe160,002,Low-E,6,3660,2280,0.2
00301783,超白光伏玻璃KB,003,超白,8,3660,2250,0
00301782,超白光伏玻璃KB,003,超白,12,3300,2440,0
00104921,东海台玻一等品,001,白玻,3,3660,2440,0
00402002,威海中玻过度色,004,色玻,3.9,3660,2440,0
00201444,营口信义XEHD0180,002,Low-E,8,3660,2440,0
00201443,营口信义XEHD0160,002,Low-E,6,3300,2740,0
00201442,营口信义XEHD0160,002,Low-E,5,3300,2740,0
00201441,营口信义XEHD0160,002,Low-E,5,3300,2440,0
00402001,漳州旗滨水晶灰玻KN,004,色玻,6,3660,2740,0
00402000,漳州旗滨水晶灰玻KN,004,色玻,6,3660,2630,0
00104920,天津信义超白XDTN0080,001,白玻,5,3300,2600,0
00104919,冠盛白玻优B,001,白玻,6,3660,2280,0
00600147,磨砂（内蒙古原片）,006,磨砂,8,3660,2003,0.2
00104918,鑫利优等,001,白玻,2.1,2440,1830,0.1
00301781,台玻超白一等,003,超白,3.6,3660,2440,0
00104917,鑫利协议品,001,白玻,4,2000,1500,0.2
00301780,成都南玻超白汽车级,003,超白,10,2420,4000,0
00104916,天津信义一等品,001,白玻,6,3660,2738,0
00104915,天津信义一等品,001,白玻,6,3300,2250,0
00104914,天津信义一等品,001,白玻,3,3300,2250,0
00700473,超白水晶油砂,007,油砂,7,2440,2100,0.2
00401999,曲靖海生福特蓝镀膜普通级,004,色玻,4.3,3660,2440,0
00104913,金宏阳优等品,001,白玻,3,2200,1830,0.2
01000045,仓储费,010,其他,1,1,1,0
00401998,成都南玻欧灰优等品,004,色玻,10,3660,2600,0.2
00201440,湖北金晶lowe80,002,Low-E,5,3660,2280,0
00201439,湖北金晶lowe80,002,Low-E,5,3660,2140,0
00201438,湖北金晶lowe80,002,Low-E,6,3300,2140,0
00201437,金华晶lowe170,002,Low-E,6,3300,2600,0.2
00401997,河源旗滨欧洲灰玻优等,004,色玻,3.2,3660,2140,0
00600146,磨砂（金宏阳原片）,006,磨砂,6,3660,2440,0.2
00401996,福特蓝,004,色玻,4.3,3660,2440,0
00401995,三峡欧洲灰玻一等品,004,色玻,4.5,3660,2440,0
00104912,巨润一等品,001,白玻,8,3900,2134,0
00401994,凯盛晶华金茶玻优等,004,色玻,4.5,3660,2440,0.2
00401993,安强宝石蓝镀膜优等品,004,色玻,5,3300,2140,0.2
00301779,东台中玻超白优质加工级,003,超白,4.2,3660,2440,0.2
00301778,东台中玻超白优质加工级,003,超白,7,3660,2440,0.2
00104911,本溪玉晶合格品过渡,001,白玻,3,2440,1830,0
00104910,本溪玉晶合格品过渡,001,白玻,4.5,2440,1830,0
00104909,本溪玉晶合格品过渡,001,白玻,4.5,2440,2000,0
00104908,本溪玉晶合格品过渡,001,白玻,2.8,2440,1830,0
00401992,成都南玻欧灰优等,004,色玻,10,3660,2440,0
00201436,单向透视,002,Low-E,6,3660,2440,0
00104907,河北南玻白玻汽车级,001,白玻,12,3660,2800,0.2
00500604,河南贵山超白长虹,005,压花,5,2440,2250,0.7
00600145,磨砂（金宏阳）,006,磨砂,5,3660,2440,0.2
00104906,石家庄玉晶一等品,001,白玻,5,3050,2440,0.2
00104905,石家庄玉晶一等品,001,白玻,5,3050,2250,0.2
00104904,石家庄玉晶一等品,001,白玻,4,3660,2550,0.2
00201435,石家庄玉晶lowes70,002,Low-E,8,4580,2140,0.3
00201434,石家庄玉晶lowes70,002,Low-E,8,3050,2140,0.3
00104903,石家庄玉晶一等品,001,白玻,5,3300,2250,0.2
00104902,石家庄玉晶一等品,001,白玻,8,2440,2100,0.3
00104901,东台中玻一等品,001,白玻,6,3660,2440,0
00104900,东台中玻一等,001,白玻,4.3,3660,2440,0
00104899,石家庄玉晶一等品,001,白玻,6,4580,2030,0.2
00500603,山西超白小灯芯,005,压花,4.5,2800,2100,0.2
00500602,山西超白银波纹,005,压花,4.5,2800,2100,0.2
00500601,山西超白水波纹,005,压花,4.5,2800,2100,0.2
00401991,圣戈班黑玻20系,004,色玻,3.8,3660,2440,0.2
00401990,成都南玻欧灰优等品,004,色玻,8,3900,1580,0
00104898,秦皇岛耀华白玻一等品,001,白玻,4,3660,2440,0
00104897,秦皇岛耀华白玻一等品,001,白玻,4,3660,2740,0
00104896,秦皇岛耀华白玻一等品,001,白玻,4,3660,2140,0
00500600,繁花,005,压花,7,2440,2100,0.5
00500599,一缕青丝,005,压花,7,2440,2100,0.5
00500598,山清水秀,005,压花,7,2440,1560,0.5
00500597,富贵竹,005,压花,7,2440,2100,0.5
00201433,安强lowe170,002,Low-E,6,3300,2134,0.2
00401989,成都南玻欧洲灰玻优等,004,色玻,4.3,3660,2440,0
00104895,营口信义PT级,001,白玻,6,3300,2740,0
00104894,东台中玻白玻客户定制级,001,白玻,4,3350,2550,0
00104893,东台中玻一等品,001,白玻,5,3590,2520,0
00104892,东台中玻一等品,001,白玻,5,3660,2600,0
00201432,中玻lowe160,002,Low-E,10,3300,2740,0.2
00201431,中玻lowe160,002,Low-E,10,4880,3050,0.2
00201430,中玻lowe160,002,Low-E,10,4880,3300,0.2
00104891,荣信超薄玻璃,001,白玻,2,2440,1720,0
00104890,金宏阳优等品,001,白玻,6,4280,2600,0.2
00301777,淄博金晶超白五线汽车级,003,超白,19,5000,3300,0
00301776,淄博金晶超白五线汽车级,003,超白,19,6000,3300,0
00301775,淄博金晶超白五线汽车级,003,超白,15,6000,3300,0
00301774,淄博金晶超白五线汽车级,003,超白,15,5000,3300,0
00301773,淄博金晶超白五线汽车级,003,超白,12,6000,3300,0
00301772,淄博金晶超白五线汽车级,003,超白,10,6000,3300,0
00500596,贵山超白长虹,005,压花,7,2250,2200,0.2
00201429,金华晶lowe170,002,Low-E,6,3300,2440,0.2
00301771,河北南玻超白汽车级,003,超白,10,3660,2200,0.2
00500595,单面灰麒麟,005,压花,7,2440,2100,0.2
00600144,巨润磨砂合格品,006,磨砂,4.2,3600,2440,0
00401988,威海中玻欧洲灰镀膜,004,色玻,5,3300,2140,0.2
00301770,成都南玻超白汽车级,003,超白,6,3660,2140,0
00401987,安强欧洲灰镀膜,004,色玻,5,3300,2140,0.2
00104889,巨润一等品,001,白玻,5,3050,2800,0
00600143,巨润磨砂合格品,006,磨砂,4.2,3660,2440,0
00104888,巨润合格品,001,白玻,8,3660,2280,0
00104887,巨润一等品,001,白玻,6,3050,1900,0
00104886,东台中玻一等品,001,白玻,5,3660,2800,0
00104885,东台中玻一等品,001,白玻,5,3660,2440,0
00104884,巨润一等品,001,白玻,8,3300,2280,0
00104883,淄博金晶白玻建筑级,001,白玻,3,3300,2550,0
00500594,贵山超白大灯芯,005,压花,7,2440,2100,0.2
00104882,石家庄玉晶合格品,001,白玻,3.2,3645,2490,0.15
00104881,石家庄玉晶合格品,001,白玻,3.2,3380,2390,0.15
00104880,石家庄玉晶合格品,001,白玻,3.2,3450,2300,0.15
00104879,利虎一等品,001,白玻,6.5,3660,2440,0.2
00301769,中联超白汽车级,003,超白,10,3660,2250,0.2
00600142,磨砂,006,磨砂,4.5,3660,2600,0.3
00401986,海生福特蓝原片普通级,004,色玻,4.3,2440,1950,0
00401985,曲靖海生绿原片普通级,004,色玻,4.3,2440,1370,0
00500593,贵州黔玻超白长虹,005,压花,4.5,2000,2100,0.5
00500592,贵州黔玻超白长虹,005,压花,4.5,2440,2100,0.5
00104878,营口信义一等品,001,白玻,10,3000,2100,0
00104877,营口信义一等品,001,白玻,10,2850,2053,0
00104876,滕州金晶白玻汽车级,001,白玻,3.2,3660,2440,0
00401984,威海中玻黑玻合格,004,色玻,5,3300,2140,0
00401983,威海中玻黑玻合格,004,色玻,5,3300,2250,0
00401982,威海中玻福特蓝镀膜合格品,004,色玻,4.5,3660,2740,0
00104875,利虎一等品,001,白玻,6,3300,2600,0.2
00104874,利虎混装品,001,白玻,3.5,2440,1370,0.2
00201428,本溪玉晶lowe180,002,Low-E,6,3300,2740,0
00201427,本溪玉晶lowe180,002,Low-E,5,3300,2140,0
00104873,德金优等品,001,白玻,3.8,2440,1900,0.4
00401981,唐山蓝欣欧茶膜,004,色玻,6,3300,2140,0.2
00401980,中联黑玻20系,004,色玻,4,2440,1830,0.2
00104871,石家庄玉晶一等,001,白玻,8,3300,1525,0.4
00104870,石家庄玉晶一等,001,白玻,8,3300,3050,0.4
00104869,石家庄玉晶一等品,001,白玻,10,4880,2250,0.3
00104868,河北南玻普白汽车级,001,白玻,15,3300,2740,0.2
00201426,内蒙古玉晶lowe160,002,Low-E,5,3660,2600,0
00201425,内蒙古玉晶lowe160,002,Low-E,5,3660,2140,0
00201424,中玻双银lowe160,002,Low-E,6,3300,2740,0.2
00201423,中玻双银lowe160,002,Low-E,6,3660,2440,0.2
00201422,中玻双银lowe180,002,Low-E,6,3300,2740,0.2
00401979,湖北三峡福特蓝镀膜一等,004,色玻,5,3660,2440,0.2
00104867,安全优等品,001,白玻,6,5200,2600,0
00301768,淄博金晶超白建筑级,003,超白,8,3300,2440,0
00301767,淄博金晶超白建筑级,003,超白,6,3660,2800,0
00301766,淄博金晶超白建筑级,003,超白,6,3660,2600,0
00301765,淄博金晶超白建筑级,003,超白,8,3300,2140,0
00104866,安全制镜级,001,白玻,4.6,2440,1830,0.2
00301764,成都南玻超白汽车级,003,超白,10,4880,2600,0
00301763,成都南玻超白汽车级,003,超白,8,4880,2600,0
00301762,成都南玻超白汽车级,003,超白,8,4580,2600,0
00104865,荣信超薄玻璃,001,白玻,1.8,2280,1960,0
00104864,荣信超薄玻璃,001,白玻,2,2440,1830,0
00500591,如意花,005,压花,4.3,2440,1830,0
00401978,贵州凯荣欧洲灰玻优等,004,色玻,5,3660,2440,0
00104863,石家庄玉晶合格品,001,白玻,5,3050,2250,0.2
00104862,石家庄玉晶合格品,001,白玻,5,3050,2600,0.2
00800150,欧灰银镜,008,镜子,6,3660,2440,0.2
00401977,廊坊金彪欧洲灰原片优等品,004,色玻,5,3660,2140,0.2
00104861,石家庄玉晶一等品,001,白玻,6.4,3660,2440,0.2
00201421,天津南玻Super-1,002,Low-E,5,3300,2740,0.2
00201420,天津南玻Super-1,002,Low-E,6,3660,2440,0.2
00401976,安强欧茶镀膜,004,色玻,5,3300,2140,0.2
00401975,安强欧茶镀膜,004,色玻,4,3300,2134,0.2
00401974,安强宝石蓝镀膜优等品,004,色玻,4,3300,2134,0.2
00700472,双面普白油砂,007,油砂,10,3660,2440,0.2
00301761,成都南玻超白汽车级,003,超白,10,3660,2660,0
00301760,成都南玻超白汽车级,003,超白,12,3800,2800,0
00301759,成都南玻超白汽车级,003,超白,10,3660,2600,0
00301758,成都南玻超白汽车级,003,超白,6,3300,2700,0
00201419,石家庄玉晶lowe180,002,Low-E,10,3660,2440,0.2
00800149,银镜,008,镜子,5,3300,2280,0.2
00201418,石家庄玉晶lowe180,002,Low-E,10,4580,2440,0.2
00104860,成都南玻超白汽车级,001,白玻,12,4580,2800,0
00104859,成都南玻超白汽车级,001,白玻,12,4580,2600,0
00104858,成都南玻超白汽车级,001,白玻,12,4000,2440,0
00401973,凯盛欧茶原片优等品,004,色玻,4.2,3660,2440,0.2
00401972,凯盛金茶原片优等品,004,色玻,4.5,3660,2440,0.2
00104857,石家庄玉晶一等品,001,白玻,12,4880,2600,0.3
00104856,河北南玻普白汽车级,001,白玻,15,3300,2600,0.2
00104855,石家庄玉晶一等品,001,白玻,10,4200,2140,0.3
